Id,paxCount,salesChannel,tripTypeDesc,purchaseLead,lengthOfStay,flightHour,flightDay,rout,geoNetworkCountry,baggageCategory,seatCategory,fnbCategory,insFlag,flightDurationHour,insFlagT,seatCategoryT,fnbCategoryT
48,2,Internet,RoundTrip,7,40,7,Wed,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
49,1,Internet,RoundTrip,107,24,14,Fri,AKLICN,South Korea,0,1,0,0,6.62,No,Yes,No
50,1,Internet,RoundTrip,14,27,10,Wed,AKLICN,New Zealand,0,0,0,0,6.62,No,No,No
51,1,Internet,RoundTrip,77,96,9,Tue,AKLICN,New Zealand,1,0,1,0,6.62,No,No,Yes
52,1,Internet,RoundTrip,65,17,9,Wed,AKLICN,New Zealand,1,0,0,0,6.62,No,No,No
53,1,Internet,RoundTrip,24,25,8,Thu,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
54,1,Internet,RoundTrip,47,69,2,Wed,AKLICN,South Korea,1,1,1,0,6.62,No,Yes,Yes
55,1,Internet,RoundTrip,22,89,14,Tue,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
56,2,Internet,RoundTrip,11,25,4,Thu,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
57,1,Internet,RoundTrip,35,25,6,Tue,AKLICN,South Korea,0,0,1,0,6.62,No,No,Yes
58,1,Internet,RoundTrip,272,21,14,Tue,AKLICN,New Zealand,1,0,0,0,6.62,No,No,No
59,1,Internet,RoundTrip,20,18,10,Mon,AKLICN,New Zealand,0,0,0,0,6.62,No,No,No
60,1,Internet,RoundTrip,250,23,9,Sun,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
61,1,Internet,RoundTrip,161,58,2,Sat,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
62,4,Internet,RoundTrip,128,21,9,Mon,AKLICN,New Zealand,1,1,0,0,6.62,No,Yes,No
63,1,Internet,RoundTrip,190,27,14,Sun,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
64,4,Internet,RoundTrip,311,27,6,Sat,AKLICN,New Zealand,0,1,0,0,6.62,No,Yes,No
65,1,Internet,RoundTrip,27,56,7,Fri,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
66,2,Internet,RoundTrip,314,43,10,Sun,AKLICN,New Zealand,0,0,0,0,6.62,No,No,No
67,1,Internet,RoundTrip,25,29,11,Wed,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
68,1,Internet,RoundTrip,102,110,6,Tue,AKLICN,South Korea,1,0,0,0,6.62,No,No,No
69,1,Internet,RoundTrip,24,19,8,Mon,AKLICN,South Korea,1,0,1,0,6.62,No,No,Yes
70,1,Internet,RoundTrip,2,165,3,Mon,AKLKIX,Japan,1,0,0,0,7,No,No,No
71,1,Internet,RoundTrip,26,111,13,Mon,AKLKIX,Japan,1,0,1,0,7,No,No,Yes
72,1,Internet,RoundTrip,32,34,23,Sun,AKLKIX,New Zealand,0,0,0,0,7,No,No,No
73,2,Internet,RoundTrip,57,38,5,Sun,AKLKIX,New Zealand,1,0,0,0,7,No,No,No
74,1,Internet,RoundTrip,198,207,10,Sun,AKLKIX,Japan,1,0,1,0,7,No,No,Yes
75,1,Internet,RoundTrip,23,27,11,Sat,AKLKIX,Japan,0,0,0,0,7,No,No,No
76,1,Internet,RoundTrip,33,20,6,Fri,AKLKTM,New Zealand,1,0,0,0,4.75,No,No,No
77,2,Internet,RoundTrip,120,91,3,Mon,AKLKTM,New Zealand,1,0,1,0,4.75,No,No,Yes
78,2,Internet,RoundTrip,69,34,4,Thu,AKLKTM,New Zealand,1,0,0,0,4.75,No,No,No
79,1,Mobile,CircleTrip,281,18,3,Wed,AKLKTM,New Zealand,1,0,0,0,4.75,No,No,No
80,1,Internet,CircleTrip,282,18,19,Tue,AKLKTM,New Zealand,1,0,0,0,4.75,No,No,No
81,1,Internet,RoundTrip,69,21,3,Wed,AKLKTM,New Zealand,1,0,0,0,4.75,No,No,No
82,1,Internet,OneWay,67,1,10,Tue,AKLKTM,New Zealand,1,0,0,0,4.75,No,No,No
83,1,Internet,RoundTrip,15,31,17,Mon,AKLKUL,Malaysia,0,0,0,1,8.83,Yes,No,No
84,1,Internet,RoundTrip,31,274,10,Tue,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
85,1,Internet,RoundTrip,316,35,16,Tue,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
86,2,Internet,RoundTrip,232,17,3,Tue,AKLKUL,Malaysia,1,1,1,0,8.83,No,Yes,Yes
87,1,Internet,RoundTrip,156,19,14,Mon,AKLKUL,Malaysia,1,0,0,1,8.83,Yes,No,No
88,1,Internet,RoundTrip,196,44,23,Tue,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
89,1,Internet,RoundTrip,283,38,9,Mon,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
90,1,Internet,RoundTrip,34,24,5,Fri,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
91,1,Mobile,RoundTrip,63,57,8,Mon,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
92,1,Internet,RoundTrip,5,18,4,Tue,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
93,1,Internet,RoundTrip,6,106,19,Tue,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
94,1,Internet,RoundTrip,227,68,2,Fri,AKLKUL,Malaysia,1,1,0,0,8.83,No,Yes,No
95,1,Internet,RoundTrip,181,87,2,Tue,AKLKUL,Singapore,1,0,1,1,8.83,Yes,No,Yes
96,1,Internet,RoundTrip,8,33,3,Tue,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
97,2,Internet,RoundTrip,138,35,19,Fri,AKLKUL,Switzerland,1,0,1,0,8.83,No,No,Yes
98,1,Internet,RoundTrip,134,37,20,Wed,AKLKUL,New Zealand,0,1,0,0,8.83,No,Yes,No
99,2,Internet,RoundTrip,8,29,18,Thu,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
100,1,Internet,RoundTrip,23,51,13,Fri,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
101,1,Mobile,RoundTrip,57,21,1,Sun,AKLKUL,Malaysia,1,1,1,0,8.83,No,Yes,Yes
102,2,Internet,RoundTrip,85,19,0,Mon,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
103,1,Internet,RoundTrip,65,31,23,Sun,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
104,1,Internet,OneWay,27,1,13,Tue,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
105,1,Internet,RoundTrip,93,196,8,Tue,AKLKUL,Germany,1,0,0,0,8.83,No,No,No
106,1,Mobile,RoundTrip,16,77,8,Mon,AKLKUL,New Zealand,0,0,1,0,8.83,No,No,Yes
107,2,Internet,RoundTrip,118,17,8,Tue,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
108,2,Internet,RoundTrip,90,20,7,Thu,AKLKUL,Malaysia,0,0,1,0,8.83,No,No,Yes
109,1,Internet,RoundTrip,168,41,23,Mon,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
110,1,Mobile,RoundTrip,127,17,16,Tue,AKLKUL,Malaysia,1,0,1,1,8.83,Yes,No,Yes
111,2,Mobile,RoundTrip,18,17,6,Mon,AKLKUL,New Zealand,1,1,1,0,8.83,No,Yes,Yes
112,1,Internet,RoundTrip,153,30,10,Tue,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
113,1,Internet,RoundTrip,51,21,9,Sat,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
114,2,Internet,RoundTrip,186,27,2,Tue,AKLKUL,New Zealand,1,1,1,0,8.83,No,Yes,Yes
115,1,Internet,RoundTrip,5,87,5,Tue,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
116,1,Internet,RoundTrip,65,278,2,Thu,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
117,1,Internet,RoundTrip,2,18,6,Thu,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
118,1,Internet,RoundTrip,263,58,4,Sun,AKLKUL,Malaysia,0,1,0,0,8.83,No,Yes,No
119,6,Internet,RoundTrip,172,28,0,Sat,AKLKUL,New Zealand,0,0,1,0,8.83,No,No,Yes
120,1,Internet,RoundTrip,161,108,2,Thu,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
121,4,Internet,RoundTrip,230,29,17,Mon,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
122,1,Internet,RoundTrip,7,21,0,Mon,AKLKUL,Indonesia,0,0,0,0,8.83,No,No,No
123,1,Internet,RoundTrip,42,17,14,Tue,AKLKUL,Malaysia,0,0,0,1,8.83,Yes,No,No
124,1,Internet,RoundTrip,71,29,10,Fri,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
125,1,Internet,RoundTrip,22,180,13,Thu,AKLKUL,Malaysia,1,0,0,1,8.83,Yes,No,No
126,1,Internet,RoundTrip,81,21,4,Fri,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
127,2,Internet,RoundTrip,140,18,7,Sun,AKLKUL,China,1,0,0,0,8.83,No,No,No
128,1,Mobile,RoundTrip,42,72,14,Sat,AKLKUL,New Zealand,0,0,1,0,8.83,No,No,Yes
129,1,Internet,RoundTrip,168,32,2,Tue,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
130,1,Internet,RoundTrip,285,30,12,Wed,AKLKUL,Czech Republic,1,1,1,0,8.83,No,Yes,Yes
131,2,Internet,RoundTrip,179,18,11,Thu,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
132,2,Internet,RoundTrip,341,21,10,Sat,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
133,2,Internet,RoundTrip,96,51,3,Thu,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
134,4,Internet,RoundTrip,173,17,1,Thu,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
135,1,Internet,RoundTrip,180,24,9,Wed,AKLKUL,New Zealand,0,1,1,0,8.83,No,Yes,Yes
136,4,Internet,RoundTrip,366,17,16,Sun,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
137,3,Internet,RoundTrip,229,17,13,Mon,AKLKUL,Malaysia,1,1,1,1,8.83,Yes,Yes,Yes
138,2,Internet,RoundTrip,174,61,11,Tue,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
139,2,Internet,RoundTrip,82,25,18,Fri,AKLKUL,Czech Republic,1,0,0,0,8.83,No,No,No
140,1,Internet,RoundTrip,75,62,6,Mon,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
141,2,Internet,RoundTrip,163,21,10,Mon,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
142,1,Internet,RoundTrip,105,21,8,Fri,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
143,2,Internet,RoundTrip,276,45,6,Mon,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
144,1,Internet,RoundTrip,35,31,3,Thu,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
145,1,Internet,RoundTrip,110,26,23,Wed,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
146,1,Internet,RoundTrip,83,44,3,Sat,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
147,1,Mobile,RoundTrip,154,25,22,Mon,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
148,1,Internet,RoundTrip,118,19,1,Tue,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
149,1,Internet,RoundTrip,55,20,22,Wed,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
150,1,Mobile,RoundTrip,45,35,1,Sat,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
151,1,Internet,RoundTrip,54,23,4,Sun,AKLKUL,New Zealand,0,0,1,0,8.83,No,No,Yes
152,1,Internet,RoundTrip,193,19,13,Tue,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
153,1,Internet,RoundTrip,10,91,23,Tue,AKLKUL,Singapore,1,0,0,1,8.83,Yes,No,No
154,1,Internet,RoundTrip,166,18,20,Wed,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
155,1,Internet,RoundTrip,97,25,9,Sun,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
156,5,Internet,RoundTrip,239,17,12,Thu,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
157,2,Internet,RoundTrip,97,50,8,Sat,AKLKUL,New Zealand,1,1,1,0,8.83,No,Yes,Yes
158,1,Internet,RoundTrip,182,28,10,Sun,AKLKUL,Vietnam,0,0,1,0,8.83,No,No,Yes
159,1,Internet,RoundTrip,99,21,13,Sun,AKLKUL,Singapore,0,0,0,1,8.83,Yes,No,No
160,1,Internet,RoundTrip,23,59,9,Tue,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
161,1,Mobile,RoundTrip,53,18,9,Mon,AKLKUL,Malaysia,1,1,0,0,8.83,No,Yes,No
162,1,Internet,RoundTrip,28,125,12,Sat,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
163,1,Internet,RoundTrip,384,18,5,Thu,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
164,2,Internet,RoundTrip,22,27,23,Fri,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
165,1,Internet,RoundTrip,70,106,3,Thu,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
166,1,Internet,RoundTrip,126,28,20,Sun,AKLKUL,Germany,1,0,0,0,8.83,No,No,No
167,1,Internet,RoundTrip,8,45,8,Tue,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
168,2,Internet,RoundTrip,51,29,11,Sun,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
169,1,Internet,RoundTrip,142,124,9,Wed,AKLKUL,Malaysia,1,0,0,1,8.83,Yes,No,No
170,1,Internet,RoundTrip,87,33,9,Sat,AKLKUL,Thailand,1,0,0,0,8.83,No,No,No
171,5,Mobile,RoundTrip,238,21,8,Fri,AKLKUL,New Zealand,1,1,1,0,8.83,No,Yes,Yes
172,2,Internet,RoundTrip,86,34,0,Sat,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
173,1,Mobile,RoundTrip,313,35,20,Sat,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
174,2,Internet,RoundTrip,41,20,20,Sun,AKLKUL,Spain,1,1,1,0,8.83,No,Yes,Yes
175,1,Internet,RoundTrip,91,46,8,Wed,AKLKUL,New Zealand,1,1,1,0,8.83,No,Yes,Yes
176,1,Mobile,RoundTrip,41,21,12,Tue,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
177,1,Internet,RoundTrip,82,33,10,Tue,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
178,5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
179,4,Internet,RoundTrip,6,55,5,Thu,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
180,5,Internet,RoundTrip,197,18,10,Fri,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
181,1,Internet,RoundTrip,34,22,13,Tue,AKLKUL,Malaysia,1,0,1,1,8.83,Yes,No,Yes
182,2,Internet,RoundTrip,112,21,17,Tue,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
183,2,Internet,RoundTrip,268,47,1,Mon,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
184,1,Internet,RoundTrip,157,26,15,Mon,AKLKUL,Romania,1,0,1,0,8.83,No,No,Yes
185,2,Internet,RoundTrip,145,51,4,Wed,AKLKUL,Malaysia,1,1,1,0,8.83,No,Yes,Yes
186,4,Internet,RoundTrip,241,24,9,Mon,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
187,1,Internet,RoundTrip,172,17,9,Fri,AKLKUL,Ireland,0,0,1,0,8.83,No,No,Yes
188,1,Internet,RoundTrip,99,19,7,Wed,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
189,1,Mobile,RoundTrip,139,22,8,Sun,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
190,1,Internet,RoundTrip,59,35,13,Sun,AKLKUL,Malaysia,0,1,0,1,8.83,Yes,Yes,No
191,1,Internet,RoundTrip,396,23,9,Mon,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
192,2,Internet,RoundTrip,280,18,23,Tue,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
193,1,Internet,RoundTrip,79,23,10,Tue,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
194,1,Internet,RoundTrip,37,26,21,Wed,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
195,2,Internet,RoundTrip,69,19,17,Sat,AKLKUL,Italy,1,0,0,0,8.83,No,No,No
196,1,Internet,RoundTrip,380,21,21,Thu,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
197,5,Internet,RoundTrip,206,17,13,Sun,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
198,1,Internet,RoundTrip,13,27,1,Wed,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
199,1,Internet,RoundTrip,229,31,2,Fri,AKLKUL,New Zealand,0,0,1,0,8.83,No,No,Yes
200,1,Internet,RoundTrip,132,20,9,Mon,AKLKUL,Slovakia,1,0,0,0,8.83,No,No,No
201,4,Internet,RoundTrip,121,18,6,Sun,AKLKUL,Malaysia,1,1,1,0,8.83,No,Yes,Yes
202,4,Internet,RoundTrip,316,22,14,Thu,AKLKUL,Malaysia,1,0,0,1,8.83,Yes,No,No
203,5,Internet,RoundTrip,67,35,2,Tue,AKLKUL,Malaysia,1,1,1,1,8.83,Yes,Yes,Yes
204,1,Internet,RoundTrip,419,21,16,Sun,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
205,2,Internet,RoundTrip,18,46,2,Mon,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
206,1,Internet,RoundTrip,58,21,12,Wed,AKLKUL,United Arab Emirates,1,0,1,0,8.83,No,No,Yes
207,2,Internet,RoundTrip,115,87,6,Wed,AKLKUL,Tonga,0,0,0,0,8.83,No,No,No
208,1,Internet,RoundTrip,236,91,6,Fri,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
209,1,Internet,RoundTrip,225,25,6,Tue,AKLKUL,Germany,1,1,0,1,8.83,Yes,Yes,No
210,1,Internet,RoundTrip,116,56,15,Thu,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
211,1,Internet,RoundTrip,34,90,7,Sat,AKLKUL,Malaysia,1,1,0,0,8.83,No,Yes,No
212,1,Internet,RoundTrip,191,60,11,Sun,AKLKUL,Germany,1,0,1,0,8.83,No,No,Yes
213,1,Internet,RoundTrip,55,22,7,Sat,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
214,1,Mobile,RoundTrip,53,180,2,Sat,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
215,1,Internet,RoundTrip,13,17,3,Sun,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
216,1,Internet,RoundTrip,275,36,4,Wed,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
217,1,Internet,RoundTrip,58,17,7,Sun,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
218,2,Internet,RoundTrip,45,25,1,Mon,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
219,2,Internet,RoundTrip,417,22,4,Sun,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
220,2,Internet,RoundTrip,159,21,8,Fri,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
221,2,Internet,RoundTrip,173,40,8,Sun,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
222,2,Internet,RoundTrip,92,65,13,Mon,AKLKUL,Réunion,1,0,0,0,8.83,No,No,No
223,1,Internet,RoundTrip,106,208,4,Thu,AKLKUL,Japan,1,0,0,0,8.83,No,No,No
224,3,Internet,RoundTrip,316,35,16,Tue,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
225,2,Internet,RoundTrip,245,27,11,Mon,AKLKUL,New Zealand,0,0,0,1,8.83,Yes,No,No
226,3,Internet,RoundTrip,218,21,8,Tue,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
227,1,Internet,RoundTrip,96,106,1,Sun,AKLKUL,New Zealand,1,1,1,0,8.83,No,Yes,Yes
228,1,Internet,RoundTrip,67,22,11,Mon,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
229,1,Internet,RoundTrip,145,204,16,Fri,AKLKUL,Malaysia,1,1,1,0,8.83,No,Yes,Yes
230,1,Internet,RoundTrip,295,18,6,Mon,AKLKUL,Malaysia,0,0,0,0,8.83,No,No,No
231,1,Internet,RoundTrip,57,51,3,Wed,AKLKUL,New Zealand,1,0,1,0,8.83,No,No,Yes
232,1,Mobile,RoundTrip,12,20,8,Tue,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
233,3,Internet,RoundTrip,77,31,0,Thu,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
234,2,Internet,RoundTrip,7,83,16,Tue,AKLKUL,Malaysia,1,0,1,0,8.83,No,No,Yes
235,1,Mobile,RoundTrip,305,18,3,Wed,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
236,2,Internet,RoundTrip,235,18,22,Tue,AKLKUL,Malaysia,1,0,1,1,8.83,Yes,No,Yes
237,1,Internet,RoundTrip,332,17,11,Sat,AKLKUL,New Zealand,0,0,0,0,8.83,No,No,No
238,1,Internet,RoundTrip,3,35,6,Tue,AKLKUL,New Zealand,1,0,0,0,8.83,No,No,No
239,2,Internet,RoundTrip,56,42,4,Thu,AKLKUL,Malaysia,1,0,1,1,8.83,Yes,No,Yes
240,2,Internet,RoundTrip,125,85,15,Thu,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
241,1,Internet,RoundTrip,86,21,2,Sat,AKLKUL,Malaysia,1,0,0,0,8.83,No,No,No
242,2,Internet,RoundTrip,204,24,6,Mon,AKLKUL,New Zealand,1,1,0,0,8.83,No,Yes,No
